epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202338,2023-09-23,2024-09-26,lab,nl,523,69,413,0,0,0,0,0,0,413,0,413.0,2.0,0.0,1.0,3.0,0.0,413.0,9.0,413.0,1.0,413.0,28.0,413.0,2.0
202338,2023-09-23,2024-09-26,lab,pe,139,22,41,0,0,0,0,0,0,41,1,20.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,7.0,20.0,0.0
202338,2023-09-23,2024-09-26,lab,ns,1198,247,1143,2,0,0,1,1,1,1047,0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,44.0,10.0,44.0,0.0
202338,2023-09-23,2024-09-26,lab,nb,1073,180,645,0,0,0,0,0,0,645,1,99.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,99.0,0.0,99.0,12.0,99.0,1.0
202338,2023-09-23,2024-09-26,region,atlantic,2933,518,2242,2,0,0,1,1,1,2146,2,576.0,3.0,0.0,2.0,3.0,0.0,576.0,10.0,576.0,1.0,576.0,57.0,576.0,3.0
202338,2023-09-23,2024-09-26,lab,région nord-est,1271,235,1060,0,0,0,0,0,0,465,0,132.0,0.0,0.0,2.0,0.0,0.0,132.0,1.0,121.0,2.0,132.0,21.0,132.0,1.0
202338,2023-09-23,2024-09-26,lab,québec-chaudière-appalaches,1512,288,1109,3,0,0,2,2,1,1109,11,513.0,3.0,0.0,0.0,2.0,0.0,530.0,13.0,515.0,8.0,546.0,77.0,456.0,10.0
202338,2023-09-23,2024-09-26,lab,centre-du-québec,2178,570,694,0,0,0,0,0,0,476,5,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,29.0,5.0,30.0,1.0
202338,2023-09-23,2024-09-26,lab,montréal-laval,1882,424,1401,3,0,0,2,2,1,1268,26,746.0,4.0,6.0,4.0,4.0,0.0,746.0,6.0,747.0,1.0,773.0,70.0,746.0,4.0
202338,2023-09-23,2024-09-26,lab,ouest du québec,1262,319,650,2,0,0,2,2,0,650,10,28.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,28.0,0.0,28.0,10.0,28.0,0.0
202338,2023-09-23,2024-09-26,lab,montérégie,1335,311,1130,1,0,0,1,1,0,1130,5,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,15.0,1.0,8.0,0.0
202338,2023-09-23,2024-09-26,region,qc,9440,2147,6044,9,0,0,7,7,2,5098,57,1456.0,8.0,6.0,6.0,6.0,0.0,1473.0,21.0,1448.0,11.0,1523.0,184.0,1400.0,16.0
202338,2023-09-23,2024-09-26,lab,phol - ottawa,148,80,105,0,0,0,0,0,0,105,0,56.0,0.0,0.0,0.0,0.0,4.0,56.0,0.0,56.0,0.0,56.0,3.0,56.0,0.0
202338,2023-09-23,2024-09-26,lab,eorla,802,85,383,0,0,0,0,0,0,383,2,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,29.0,6.0,29.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - kingston,260,106,149,0,0,0,0,0,0,149,1,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,63.0,0.0,63.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - peterborough,68,35,73,0,0,0,0,0,0,73,2,40.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,40.0,0.0,40.0,1.0,40.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - toronto,364,84,629,4,6,1,0,4,0,629,0,583.0,0.0,0.0,0.0,0.0,24.0,583.0,6.0,583.0,7.0,583.0,76.0,583.0,3.0
202338,2023-09-23,2024-09-26,lab,uhn / mount sinai hospital,936,79,903,2,0,0,1,1,1,903,0,87.0,0.0,0.0,2.0,1.0,0.0,87.0,0.0,87.0,0.0,87.0,6.0,87.0,0.0
202338,2023-09-23,2024-09-26,lab,sick kids hospital - toronto,83,9,133,0,0,0,0,0,0,133,0,133.0,0.0,3.0,0.0,0.0,0.0,133.0,2.0,133.0,0.0,133.0,18.0,133.0,0.0
202338,2023-09-23,2024-09-26,lab,shared hospital laboratory,1427,164,1006,2,1,0,1,2,0,1006,4,980.0,0.0,0.0,0.0,0.0,11.0,980.0,2.0,1004.0,0.0,1004.0,39.0,1004.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - hamilton,48,10,46,7,0,7,0,7,0,46,0,40.0,0.0,0.0,0.0,0.0,1.0,40.0,1.0,40.0,0.0,40.0,5.0,40.0,0.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - hamilton,1443,148,1341,4,0,0,4,4,0,1341,3,1341.0,0.0,0.0,3.0,0.0,0.0,1341.0,0.0,1341.0,0.0,1341.0,75.0,0.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - london,231,86,221,0,0,0,0,0,0,221,0,185.0,0.0,0.0,0.0,0.0,3.0,185.0,1.0,185.0,0.0,185.0,11.0,185.0,1.0
202338,2023-09-23,2024-09-26,lab,st. joseph's - london,490,77,69,1,0,0,0,0,1,69,1,68.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,68.0,0.0,68.0,6.0,68.0,1.0
202338,2023-09-23,2024-09-26,lab,phol - orillia,21,13,16,0,0,0,0,0,0,16,0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,2.0,15.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - sudbury,11,1,16,0,0,0,0,0,0,16,0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,0.0
202338,2023-09-23,2024-09-26,lab,phol - timmins,28,4,25,0,0,0,0,0,0,25,0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,0.0
